No,ISIN,issue_date,maturity_date,coupon_%,coupon,yield_%,yield,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,duration,duration_m,duration_y
16,CA135087G328,2016-10-10,2022-02-28,0.5%,0.5,-,-,100.04,100.03,100.03,100.03,100.02,100.02,100.0,100.0,100.0,100.01,1967 days,64.62555699295673,5.385463082746394
14,CA135087ZU15,2011-08-01,2022-05-31,2.75%,2.75,0.50%,0.5,100.9,100.89,100.88,100.85,100.84,100.8,100.78,100.78,100.76,100.77,3956 days,129.97392143575843,10.831160119646537
19,CA135087H490,2017-10-05,2023-02-28,1.75%,1.75,1.07%,1.07,100.94,100.93,100.91,100.88,100.86,100.76,100.71,100.71,100.71,100.75,1972 days,64.78983141337605,5.399152617781337
2,CA135087A610,2012-07-29,2023-05-31,1.5%,1.5,1.15%,1.15,100.71,100.7,100.67,100.64,100.61,100.5,100.45,100.44,100.43,100.48,3958 days,130.03963120392615,10.836635933660514
8,CA135087J546,2018-10-04,2024-02-29,2.25%,2.25,1.31%,1.31,102.31,102.31,102.26,102.22,102.18,101.99,101.91,101.9,101.88,101.97,1974 days,64.85554118154377,5.404628431795314
15,CA135087B451,2013-07-01,2024-05-31,2.5%,2.5,1.37%,1.37,103.02,102.98,102.97,102.93,102.88,102.67,102.57,102.54,102.53,102.62,3987 days,130.99242284235817,10.91603523686318
11,CA135087J967,2019-04-04,2024-08-31,1.5%,1.5,1.38%,1.38,100.56,100.63,100.62,100.58,100.52,100.29,100.21,100.15,100.17,100.27,1976 days,64.92125094971149,5.410104245809291
32,CA135087K528,2019-10-10,2025-02-28,1.25%,1.25,1.46%,1.46,99.64,99.67,99.61,99.59,99.49,99.25,99.12,99.11,99.1,99.26,1968 days,64.65841187704059,5.388200989753383
22,CA135087D507,2014-06-29,2025-05-31,2.25%,2.25,1.5%,1.5,102.91,102.89,102.9,102.87,102.79,102.53,102.35,102.26,102.3,102.38,3989 days,131.0581326105259,10.921511050877157
25,CA135087K940,2020-04-02,2025-08-31,0.5%,0.5,1.57%,1.57,96.66,96.72,96.77,96.77,96.68,96.43,96.26,96.15,96.19,96.31,1977 days,64.95410583379535,5.41284215281628
31,CA135087L518,2020-10-08,2026-02-28,0.25%,0.25,1.6%,1.6,95.11,95.17,95.12,95.14,95.04,94.75,94.53,94.5,94.52,94.7,1969 days,64.69126676112445,5.390938896760372
28,CA135087E679,2015-07-20,2026-05-31,1.5%,1.5,1.59%,1.59,100.12,100.17,100.13,100.12,100.01,99.7,99.57,99.43,99.45,99.65,3968 days,130.36818004476478,10.864015003730398
26,CA135087L930,2021-04-15,2026-08-31,1.0%,1.0,1.66%,1.66,97.66,97.7,97.67,97.695,97.585,97.24,97.02,96.96,97.0,97.225,1964 days,64.52699234070515,5.377249361725429
24,CA135087M847,2021-10-14,2027-02-28,1.25%,1.25,1.68%,1.68,98.41,98.475,98.4,98.44,98.31,97.955,97.7,97.66,97.685,97.94,1963 days,64.49413745662129,5.374511454718441
34,CA135087F825,2016-08-02,2027-05-31,1.0%,1.0,1.66%,1.66,97.18,97.28,97.32,97.31,97.19,96.82,96.58,96.44,96.52,96.7,3954 days,129.9082116675907,10.82568430563256
23,CA135087H235,2017-07-31,2028-05-31,2.0%,2.0,1.69%,1.69,102.395,102.475,102.375,102.395,102.245,101.795,101.47,101.41,101.45,101.82,3957 days,130.0067763198423,10.833898026653525
21,CA135087J397,2018-07-26,2029-05-31,2.25%,2.25,1.68%,1.68,104.44,104.59,104.6,104.6,104.38,103.98,103.63,103.47,103.59,104.02,3962 days,130.17105074026162,10.847587561688467
30,CA135087L443,2020-10-04,2030-11-30,0.5%,0.5,1.77%,1.77,90.21,90.36,90.25,90.28,90.05,89.59,89.29,89.2,89.25,89.79,3709 days,121.8587650670445,10.154897088920375
33,CA135087M276,2021-04-25,2031-05-31,1.5%,1.5,1.8%,1.8,98.0,98.18,98.02,98.09,97.81,97.34,96.97,96.91,96.96,97.47,3688 days,121.1688125012834,10.097401041773615
35,CA135087N266,2021-10-24,2031-11-30,1.5%,1.5,1.85%,1.85,97.4,97.59,97.42,97.5,97.21,96.73,96.35,96.3,96.35,96.9,3689 days,121.20166738536726,10.100138948780605
