,No,ISIN,issue_date,maturity_date,last_cp_date,coupon_%,coupon,yield_%,yield,2022-01-10,0110_cp_days,2022-01-11,0111_cp_days,2022-01-12,0112_cp_days,2022-01-13,0113_cp_days,2022-01-14,0114_cp_days,2022-01-17,0117_cp_days,2022-01-18,0118_cp_days,2022-01-19,0119_cp_days,2022-01-20,0120_cp_days,2022-01-21,0121_cp_days,duration,duration_m,duration_y,day_diff,yr_diff,2022-01-10_dirty,2022-01-11_dirty,2022-01-12_dirty,2022-01-13_dirty,2022-01-14_dirty,2022-01-17_dirty,2022-01-18_dirty,2022-01-19_dirty,2022-01-20_dirty,2022-01-21_dirty
0,16,CA135087G328,2016-10-10,2022-02-28,2021-08-31,0.5%,0.5,-,-,100.04,132,100.03,133,100.03,134,100.03,135,100.02,136,100.02,139,100.0,140,100.0,141,100.0,142,100.01,143,1967 days,64.6255569929567,5.38546308274639,27,0.07,100.4,100.39,100.4,100.4,100.39,100.4,100.38,100.39,100.39,100.4
1,14,CA135087ZU15,2011-08-01,2022-05-31,2021-11-30,2.75%,2.75,0.50%,0.5,100.9,41,100.89,42,100.88,43,100.85,44,100.84,45,100.8,48,100.78,49,100.78,50,100.76,51,100.77,52,3956 days,129.973921435758,10.8311601196465,119,0.33,101.01,101.01,101.0,100.97,100.96,100.93,100.91,100.92,100.9,100.91
2,19,CA135087H490,2017-10-05,2023-02-28,2021-08-31,1.75%,1.75,1.07%,1.07,100.94,132,100.93,133,100.91,134,100.88,135,100.86,136,100.76,139,100.71,140,100.71,141,100.71,142,100.75,143,1972 days,64.7898314133761,5.39915261778134,392,1.07,101.3,101.29,101.28,101.25,101.23,101.14,101.09,101.1,101.1,101.14
3,2,CA135087A610,2012-07-29,2023-05-31,2021-11-30,1.5%,1.5,1.15%,1.15,100.71,41,100.7,42,100.67,43,100.64,44,100.61,45,100.5,48,100.45,49,100.44,50,100.43,51,100.48,52,3958 days,130.03963120392598,10.8366359336605,484,1.33,100.82,100.82,100.79,100.76,100.73,100.63,100.58,100.58,100.57,100.62
4,8,CA135087J546,2018-10-04,2024-02-29,2021-08-31,2.25%,2.25,1.31%,1.31,102.31,132,102.31,133,102.26,134,102.22,135,102.18,136,101.99,139,101.91,140,101.9,141,101.88,142,101.97,143,1974 days,64.8555411815438,5.4046284317953095,758,2.08,102.67,102.67,102.63,102.59,102.55,102.37,102.29,102.29,102.27,102.36
5,11,CA135087J967,2019-04-04,2024-08-31,2021-08-31,1.5%,1.5,1.38%,1.38,100.56,132,100.63,133,100.62,134,100.58,135,100.52,136,100.29,139,100.21,140,100.15,141,100.17,142,100.27,143,1976 days,64.9212509497115,5.410104245809291,942,2.58,100.92,100.99,100.99,100.95,100.89,100.67,100.59,100.54,100.56,100.66
6,32,CA135087K528,2019-10-10,2025-02-28,2021-08-31,1.25%,1.25,1.46%,1.46,99.64,132,99.67,133,99.61,134,99.59,135,99.49,136,99.25,139,99.12,140,99.11,141,99.1,142,99.26,143,1968 days,64.6584118770406,5.38820098975338,1123,3.08,100.0,100.03,99.98,99.96,99.86,99.63,99.5,99.5,99.49,99.65
7,25,CA135087K940,2020-04-02,2025-08-31,2021-08-31,0.5%,0.5,1.57%,1.57,96.66,132,96.72,133,96.77,134,96.77,135,96.68,136,96.43,139,96.26,140,96.15,141,96.19,142,96.31,143,1977 days,64.9541058337954,5.41284215281628,1307,3.58,97.02,97.08,97.14,97.14,97.05,96.81,96.64,96.54,96.58,96.7
8,31,CA135087L518,2020-10-08,2026-02-28,2021-08-31,0.25%,0.25,1.6%,1.6,95.11,132,95.17,133,95.12,134,95.14,135,95.04,136,94.75,139,94.53,140,94.5,141,94.52,142,94.7,143,1969 days,64.6912667611245,5.390938896760369,1488,4.08,95.47,95.53,95.49,95.51,95.41,95.13,94.91,94.89,94.91,95.09
9,26,CA135087L930,2021-04-15,2026-08-31,2021-08-31,1.0%,1.0,1.66%,1.66,97.66,132,97.7,133,97.67,134,97.695,135,97.585,136,97.24,139,97.02,140,96.96,141,97.0,142,97.225,143,1964 days,64.5269923407052,5.377249361725429,1672,4.58,98.02,98.06,98.04,98.06,97.96,97.62,97.4,97.35,97.39,97.62
10,24,CA135087M847,2021-10-14,2027-02-28,2021-08-31,1.25%,1.25,1.68%,1.68,98.41,132,98.475,133,98.4,134,98.44,135,98.31,136,97.955,139,97.7,140,97.66,141,97.685,142,97.94,143,1963 days,64.49413745662129,5.374511454718441,1853,5.08,98.77,98.84,98.77,98.81,98.68,98.34,98.08,98.05,98.07,98.33
